Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;Durchgehender abgeschrägter Absatz: 173.7[mm] x 100.0[mm] x 45.0[mm] (#38);-562788.0;0.0;0.4009185139066876;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.2;Durchgehender abgeschrägter Absatz: 173.7[mm] x 100.0[mm] x 45.0[mm] (#41);-562788.0;0.0;0.4009185139066876;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.3;Abgerundete Viertelstufe  Ø44 [mm] x 60.0[mm] (#45);-22807.962665061896;0.0;0.016247920170500845;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.4;Abgerundete Viertelstufe  Ø44 [mm] x 60.0[mm] (#48);-22807.962665061896;0.0;0.016247920170500845;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.5;Abgerundete Viertelstufe  Ø44 [mm] x 60.0[mm] (#51);-22807.962665061896;0.0;0.016247920170500845;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.6;Tasche für Sechskantmutter D=38.0[mm] x 6.0[mm] (#56);-5627.433073791283;0.0;0.04209310095997838;Schruppfräser (6.0);8.91267681314614;3.0;133690.1521971921;-
2;2.7;Tasche für Sechskantmutter D=38.0[mm] x 6.0[mm] (#59);-5627.433073791283;0.0;0.04209310095997838;Schruppfräser (6.0);8.91267681314614;3.0;133690.1521971921;-
2;2.8;Tasche für Sechskantmutter D=38.0[mm] x 6.0[mm] (#62);-5627.433073791283;0.0;0.04209310095997838;Schruppfräser (6.0);8.91267681314614;3.0;133690.1521971921;-
2;2.9;Langloch Ø70.0[mm] x 40.0[mm] DIN3771 (#65);-179138.04002589986;0.0;0.12761422914372816;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.10;Langloch Ø70.0[mm] x 40.0[mm] DIN3771 (#68);-179138.04002589986;0.0;0.12761422914372816;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.11;Langloch Ø70.0[mm] x 40.0[mm] DIN3771 (#71);-179138.04002589986;0.0;0.12761422914372816;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.12;Langloch Ø42.0[mm] x 39.0[mm] DIN3771 (#76);-157226.25204909086;0.0;0.11200472525824964;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
3;3.1;Bohrung Ø10 x 34.0[mm] mit 45°-Senkung mit M10 Gewinde (#82);-2701.1268712686256;0.0;0.022509390593905214;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.2;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#260);-3957.763932704542;0.0;0.032981366105871185;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.3;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#263);-3957.763932704542;0.0;0.032981366105871185;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.4;Bohrung Ø10 x 50.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M10 Gewinde (#266);-4301.625740927824;0.0;0.035846881174398534;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.5;Bohrung Ø10 x 50.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M10 Gewinde (#269);-4301.625740927823;0.0;0.03584688117439853;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.6;Bohrung Ø10 x 50.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M10 Gewinde (#272);-4301.625740927824;0.0;0.035846881174398534;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.7;Bohrung Ø10 x 50.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M10 Gewinde (#275);-4301.625740927822;0.0;0.03584688117439852;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.8;Bohrung Ø10 x 50.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M10 Gewinde (#278);-4301.625740927824;0.0;0.035846881174398534;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
5;5.1;Langloch Ø62.0[mm] x 17.0[mm] DIN3771 (#351);-55540.199181696444;0.0;0.039565687466696454;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.2;Langloch Ø62.0[mm] x 17.0[mm] DIN3771 (#354);-55540.199181696444;0.0;0.039565687466696454;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.3;Rechteckige Stufe an Ecke mit 90.0[mm] L1, 40.0[mm] L2 und Tiefe 10.0[mm] (#360);-36000.0;0.0;0.025645654315018713;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.4;O-Ring-Nut Ø20.0[mm] x 3.0[mm] DIN3771 (#364);-706.8583470577033;0.0;0.007930932108018231;Schruppfräser (3.0);14.854461355243567;2.0;89126.7681314614;-
5;5.5;O-Ring-Nut Ø20.0[mm] x 3.0[mm] DIN3771 (#367);-706.8583470577033;0.0;0.007930932108018231;Schruppfräser (3.0);14.854461355243567;2.0;89126.7681314614;-
5;5.6;Tasche für Sechskantmutter D=19.0[mm] x 3.0[mm] (#371);-703.4291342239105;0.0;0.007892456429995948;Schruppfräser (3.0);14.854461355243567;2.0;89126.7681314614;-
5;5.7;O-Ring-Nut Ø12.0[mm] x 3.0[mm] DIN3771 (#377);-254.46900494077317;0.0;0.008327478713419144;Schaftfräser (3.0);10.185916357881302;1.5;30557.749073643903;-
5;5.8;Langloch Ø30.0[mm] x 25.0[mm] DIN3771 (#381);-22171.45867644258;0.0;0.026174577507696643;Schruppfräser (25.0);3.921577797784301;12.0;847060.804321409;-
