Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;O-Ring-Nut Ø62.0[mm] x 8.0[mm] DIN3771 (#40);-11988.317566098653;0.0;0.1304325901110199;Schruppfräser (8.0);2.626056561016273;5.0;91911.97963556957;-
2;2.2;Langloch Ø60.0[mm] x 40.0[mm] DIN3771 (#45);-115497.33552923254;0.0;0.3817819663382074;Schruppfräser (40.0);1.0504226244065094;16.0;302521.71582907473;-
2;2.3;Durchgehender abgeschrägter Absatz: 200.0[mm] x 15.35[mm] x 18.0[mm] (#50);-34813.8;0.0;0.26708370774980306;Schruppfräser (12.0);2.0690142601946393;7.0;130347.89839226227;-
2;2.4;Abgerundete Viertelstufe  Ø18 [mm] x 24.0[mm] (#55);-1526.8140296446393;0.0;0.010659172753176507;Schruppfräser (16.0);1.7904931097838224;8.0;143239.4487827058;-
2;2.5;Tasche mit abgerundeten Endflächen Ø20.0[mm] mit einer Gesamtlänge 55.0[mm] und Tiefe 30.0[mm] (#60);-24212.388980384687;0.0;0.13205809608790794;Schruppfräser (20.0);1.5278874536821954;10.0;183346.49444186347;-
3;3.1;Bohrung Ø9 x 45.0[mm]mit Passung H12 (#81);-2862.7763055836986;0.0;0.0636172512351933;Spiralbohrer (9.0);0.1768388256576615;7.8;45000.0;-
3;3.2;Bohrung Ø9 x 45.0[mm]mit Passung H12 (#85);-2862.776305583698;0.0;0.0636172512351933;Spiralbohrer (9.0);0.1768388256576615;7.8;45000.0;-
3;3.3;Bohrung Ø9 x 45.0[mm]mit Passung H12 (#89);-2862.7763055836986;0.0;0.0636172512351933;Spiralbohrer (9.0);0.1768388256576615;7.8;45000.0;-
3;3.4;Bohrung Ø9 x 45.0[mm]mit Passung H12 (#93);-2862.776305583698;0.0;0.0636172512351933;Spiralbohrer (9.0);0.1768388256576615;7.8;45000.0;-
3;3.5;Bohrung Ø9 x 45.0[mm]mit Passung H12 (#97);-2862.776305583698;0.0;0.0636172512351933;Spiralbohrer (9.0);0.1768388256576615;7.8;45000.0;-
4;4.1;Geschleifte Anschlussfläche Rz 0.7 (#102);-1631.9137438240325;0.0;0.0;- (-);-;-;-;-
