Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;Geschweißter Winkel L: 205.0[mm], B: 63.0[mm], H: 285.0[mm], t: 21.0[mm] (#38);-620487.0;0.0;0.0;- (-);-;-;-;536.0[mm]
2;2.2;Geschweißter Winkel L: 217.0[mm], B: 75.0[mm], H: 285.0[mm], t: 22.0[mm] (#41);-791999.9999999998;0.0;0.0;- (-);-;-;-;584.0[mm]
4;4.1;Abgerundete Viertelstufe  Ø30 [mm] x 10.0[mm] (#49);-1767.1458676442585;0.0;0.007649432974554624;Schruppfräser (25.0);1.3750987083139756;12.0;231016.5829967479;-
4;4.2;Abgerundete Viertelstufe  Ø16 [mm] x 10.0[mm] (#58);-502.6548245743669;0.0;0.0035091926759428837;Schruppfräser (16.0);1.7904931097838224;8.0;143239.4487827058;-
4;4.3;Rechteckige Tasche mit 41.0[mm] x 6.0[mm] x 6.0[mm] (#63);-1476.0;0.0;0.019320794819577228;Schruppfräser (6.0);3.183098861837907;4.0;76394.37268410977;-
4;4.4;Durchgehender Schlitz-Stufe: 20.0[mm] x 113.7[mm] x 30.0[mm] (#68);-68219.99999999999;0.0;0.37208237990954096;Schruppfräser (20.0);1.5278874536821954;10.0;183346.49444186347;-
4;4.5;Rechteckige Tasche mit 222.0[mm] x 39.0[mm] x 15.0[mm] (#72);-129870.0;0.0;0.4857126641925076;Schruppfräser (32.0);1.1936620731892151;14.0;267380.3043943842;-
4;4.6;Rechteckige Tasche mit 116.0[mm] x 17.0[mm] x 16.0[mm] (#82);-31551.999999999993;0.0;0.22027451423570032;Schruppfräser (16.0);1.7904931097838224;8.0;143239.4487827058;-
5;5.1;Bohrung Ø8 x 40.0[mm] mit 45°-Senkung mit M8 Gewinde (#204);-2026.375133544716;0.0;0.050659378338617896;Spiralbohrer (8.0);0.1989436788648692;6.8;40000.0;-
5;5.2;Bohrung Ø8 x 40.0[mm] mit 45°-Senkung mit M8 Gewinde (#208);-2026.3751335447241;0.0;0.050659378338618104;Spiralbohrer (8.0);0.1989436788648692;6.8;40000.0;-
5;5.3;Bohrung Ø8 x 40.0[mm] mit 45°-Senkung mit M8 Gewinde (#212);-2026.3751335447253;0.0;0.05065937833861813;Spiralbohrer (8.0);0.1989436788648692;6.8;40000.0;-
5;5.4;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#230);-3957.7639327045363;0.0;0.06596273221174227;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
5;5.5;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#234);-3957.763932704541;0.0;0.06596273221174234;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
5;5.6;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#238);-3957.763932704538;0.0;0.0659627322117423;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
