Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#43);-3957.763932704541;0.0;0.03298136610587117;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
2;2.2;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#46);-3957.7639327045417;0.0;0.032981366105871185;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
2;2.3;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#49);-3957.763932704546;0.0;0.03298136610587122;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
2;2.4;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#52);-3957.7639327045445;0.0;0.032981366105871206;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
2;2.5;Bohrung Ø10 x 50.0[mm] mit 45°-Senkung mit M10 Gewinde (#55);-3957.7639327045417;0.0;0.032981366105871185;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.1;Geschweißter Steg L: 200.0[mm], B: 72.0[mm], H: 307.0[mm]  (#60);-3589955.1330709592;0.0;0.0;- (-);-;-;-;544.0[mm]
3;3.2;Geschweißter Steg L: 168.0[mm], B: 42.0[mm], H: 208.0[mm]  (#63);-1149000.194061551;0.0;0.0;- (-);-;-;-;420.0[mm]
5;5.1;Durchgehender Schlitz-Stufe: 300.0[mm] x 76.4[mm] x 28.0[mm] (#93);-641760.0;0.0;0.4571765309224003;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.2;Langloch Ø38.0[mm] x 32.0[mm] DIN3771 (#113);-114115.6783342693;0.0;0.10925865957008954;Schruppfräser (32.0);3.4815143801352106;15.0;1044454.3140405633;-
5;5.3;Langloch Ø102.0[mm] x 40.0[mm] DIN3771 (#122);-351331.29967948206;0.0;0.2502811406007289;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.4;Tasche mit abgerundeten Endflächen Ø68.0[mm] mit einer Gesamtlänge 11.0[mm] und Tiefe 14.0[mm] (#128);-46841.76775284861;0.0;0.03336910509149851;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.5;Durchgehender abgeschrägter Absatz: 300.0[mm] x 66.0[mm] x 37.0[mm] (#134);-564101.9999999998;0.0;0.4018545802891856;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
5;5.6;Langloch Ø84.0[mm] x 40.0[mm] DIN3771 (#140);-477030.7776372959;0.0;0.3398268450252958;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
