Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;Abgerundete Viertelstufe  Ø70 [mm] x 25.0[mm] (#39);-24052.81875404686;0.0;0.07950774273552232;Schruppfräser (40.0);1.0504226244065094;16.0;302521.71582907473;-
2;2.2;Durchgehender zweiseitig abgeschrägter Absatz: 128.7[mm] x 50.0[mm] x 60.0[mm] (#44);-231660.00000000006;0.0;0.7657632093125121;Schruppfräser (40.0);1.0504226244065094;16.0;302521.71582907473;-
2;2.3;Rechteckige Tasche mit 46.0[mm] x 13.0[mm] x 12.0[mm] (#50);-7176.0;0.0;0.055052671262906853;Schruppfräser (12.0);2.0690142601946393;7.0;130347.89839226227;-
2;2.4;Durchgehender Schlitz-Stufe: 200.0[mm] x 111.0[mm] x 3.0[mm] (#55);-66599.99999999999;0.0;0.2201494851947392;Schruppfräser (40.0);1.0504226244065094;16.0;302521.71582907473;-
2;2.5;Langloch Ø14.0[mm] x 12.0[mm] DIN3771 (#60);-7055.2564803108;0.0;0.05412635391388569;Schruppfräser (12.0);2.0690142601946393;7.0;130347.89839226227;-
3;3.1;Bohrung Ø10 x 29.0[mm]mit Passung H12 (#72);-2277.6546738526004;0.0;0.03796091123087668;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
3;3.2;Bohrung Ø10 x 21.0[mm]mit Passung H12 (#76);-1649.3361431346411;0.0;0.027488935718910687;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
3;3.3;Bohrung Ø10 x 19.0[mm]mit Passung H12 (#79);-1492.2565104551509;0.0;0.02487094184091918;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
3;3.4;Bohrung Ø10 x 17.0[mm]mit Passung H12 (#82);-1335.1768777756608;0.0;0.02225294796292768;Spiralbohrer (10.0);0.19098593171027442;8.5;60000.0;-
4;4.1;Geschweißter Winkel L: 67.0[mm], B: 26.0[mm], H: 118.0[mm], t: 7.0[mm] (#109);-32395.999999999978;0.0;0.0;- (-);-;-;-;186.0[mm]
6;6.1;Geschleifte Anschlussfläche Rz 0.7 (#116);-4102.887620715776;0.0;0.0;- (-);-;-;-;-
6;6.2;Geschleifte Anschlussfläche Rz 0.7 (#119);-4102.887620715776;0.0;0.0;- (-);-;-;-;-
