Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;Durchgehender Schlitz-Stufe: 250.0[mm] x 26.5[mm] x 37.0[mm] (#38);-245125.0;0.0;1.0610710141247768;Schruppfräser (25.0);1.3750987083139756;12.0;231016.5829967479;-
2;2.2;Rechteckige Tasche mit 46.0[mm] x 11.0[mm] x 10.0[mm] (#43);-5059.999999999999;0.0;0.04599669799526721;Schruppfräser (10.0);2.291831180523293;6.0;110007.89666511807;-
2;2.3;Abgerundete Viertelstufe  Ø34 [mm] x 41.0[mm] (#49);-9306.182838096365;0.0;0.03480504242515113;Schruppfräser (32.0);1.1936620731892151;14.0;267380.3043943842;-
2;2.4;Rechteckige Tasche mit 23.0[mm] x 17.0[mm] x 16.0[mm] (#54);-6256.0;0.0;0.043675119201906115;Schruppfräser (16.0);1.7904931097838224;8.0;143239.4487827058;-
2;2.5;Rechteckige Tasche mit 66.0[mm] x 14.0[mm] x 12.0[mm] (#60);-11088.0;0.0;0.08506466262027748;Schruppfräser (12.0);2.0690142601946393;7.0;130347.89839226227;-
2;2.6;Rechteckige Tasche mit 30.0[mm] x 16.0[mm] x 16.0[mm] (#66);-7680.0;0.0;0.053616514621265814;Schruppfräser (16.0);1.7904931097838224;8.0;143239.4487827058;-
3;3.1;Bohrung Ø7 x 35.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M7 Gewinde (#166);-1475.4576291382436;0.0;0.052694915326365846;Spiralbohrer (7.0);0.1818913635335947;6.0;28000.0;-
3;3.2;Bohrung Ø7 x 35.0[mm] mit zylindrischer Senkung für Zylinderkopfschraube nach DIN 912 mit M7 Gewinde (#182);-1475.4576291382436;0.0;0.052694915326365846;Spiralbohrer (7.0);0.1818913635335947;6.0;28000.0;-
3;3.3;Bohrung Ø4 x 22.0[mm]mit Passung H12 (#188);-276.4601535159016;0.0;0.02764601535159016;Spiralbohrer (4.0);0.1989436788648692;3.3;10000.0;-
3;3.4;Bohrung Ø4 x 22.0[mm]mit Passung H12 (#194);-276.46015351590165;0.0;0.027646015351590166;Spiralbohrer (4.0);0.1989436788648692;3.3;10000.0;-
3;3.5;Bohrung Ø4 x 22.0[mm]mit Passung H12 (#198);-276.46015351590165;0.0;0.027646015351590166;Spiralbohrer (4.0);0.1989436788648692;3.3;10000.0;-
4;4.1;Geschleifte Anschlussfläche Rz 0.7 (#203);-442.30088815692244;0.0;0.0;- (-);-;-;-;-
